date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:33:09	72797/72797	---M-Z	200	added ('OK')	text/html	etag:%2205ea1ab4-bd39-44be-9bcb-64e048a9bb9c%22	http://visitaandahuaylas.blogspot.com/2011/11/transporte.html	C:/Users/pc-3/Desktop/walter/visitaandahuaylas.blogspot.com/2011/11/transporte.html	(from )
04:33:09	131/131	---M-Z	200	added ('OK')	text/plain	etag:%2205ea1ab4-bd39-44be-9bcb-64e048a9bb9c%22	http://visitaandahuaylas.blogspot.com/robots.txt		(from )
04:33:10	42973/42973	---MC-	200	added ('OK')	text/css	date:Tue,%2028%20Jul%202015%2008:05:32%20GMT	https://www.blogger.com/static/v1/widgets/4205868711-css_bundle_v2.css	C:/Users/pc-3/Desktop/walter/www.blogger.com/static/v1/widgets/4205868711-css_bundle_v2.css	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:11	182/182	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202015%2018:55:43%20GMT	http://www.blogblog.com/1kt/awesomeinc/tabs_gradient_light.png	C:/Users/pc-3/Desktop/walter/www.blogblog.com/1kt/awesomeinc/tabs_gradient_light.png	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:11	1/1	---MC-	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202015%2009:33:03%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=7519192434978262816&zx=05ea1ab4-bd39-44be-9bcb-64e048a9bb9c	C:/Users/pc-3/Desktop/walter/www.blogger.com/dyn-css/authorizatione8e5.css	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:12	6488/6488	---MC-	200	added ('OK')	text/javascript	date:Fri,%2031%20Jul%202015%2008:31:24%20GMT	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/Users/pc-3/Desktop/walter/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:13	475/475	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202015%2008:05:32%20GMT	http://img1.blogblog.com/img/icon18_wrench_allbkg.png	C:/Users/pc-3/Desktop/walter/img1.blogblog.com/img/icon18_wrench_allbkg.png	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:13	37316/37316	---MC-	200	added ('OK')	application/javascript	date:Fri,%2031%20Jul%202015%2009:33:04%20GMT	https://apis.google.com/js/plusone.js	C:/Users/pc-3/Desktop/walter/apis.google.com/js/plusone.js	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:13	162/162	---M--	200	added ('OK')	image/gif	date:Tue,%2028%20Jul%202015%2018:55:43%20GMT	http://img2.blogblog.com/img/icon18_edit_allbkg.gif	C:/Users/pc-3/Desktop/walter/img2.blogblog.com/img/icon18_edit_allbkg.gif	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
04:33:16	92780/92780	---M-Z	200	added ('OK')	text/html	etag:%2205ea1ab4-bd39-44be-9bcb-64e048a9bb9c%22	http://visitaandahuaylas.blogspot.com/2011/11/gastronomia-andahuaylina.html	C:/Users/pc-3/Desktop/walter/visitaandahuaylas.blogspot.com/2011/11/gastronomia-andahuaylina.html	(from http://visitaandahuaylas.blogspot.com/2011/11/transporte.html)
